470,183.5019,1930.6356,17.8497,181.7918,43,0 ; Patriot
470,103.0628,1914.8339,18.3727,40.8428,43,0 ; Patriot
471,-399.0436,2252.6685,41.8178,300.8135,120,112 ; Quad
420,-208.3269,2723.9990,62.4695,267.2648,6,1 ; Taxi
600,-201.2879,2594.7170,62.4220,1.1029,32,8 ; Picador
489,-270.6937,2675.0889,62.7954,251.3489,14,123 ; Rancher
422,833.7327,840.1547,11.8228,24.4117,101,25 ; Bobcat
543,683.0380,839.5352,-43.1469,55.1710,67,8 ; Sadler
543,576.0908,872.8019,-43.8402,181.5102,8,90 ; Sadler
532,-759.8405,-2458.4460,72.6366,319.4753,0,0 ; 
400,-20.6879,-2498.1814,36.7408,122.2802,4,1 ; 
400,-17.0690,-2520.2581,36.7478,213.8456,4,1 ; 
532,-1164.6876,-1057.4521,130.2022,277.3220,0,0 ; 
466,-1407.8011,-1165.6597,103.0781,151.5499,78,76 ; 
531,-85.5815,-1608.7993,2.7154,300.0013,36,2 ; 
403,-47.9698,-1570.7786,3.2227,152.9310,37,1 ; 
400,-93.0630,-1194.6671,2.3429,344.3191,123,1 ; 
413,691.4462,-1570.2456,14.3358,179.2636,91,1 ; 
451,489.1148,-1514.9581,20.0516,186.2239,46,46 ; 
541,494.3372,-1604.7161,18.2000,275.6070,60,1 ; 
475,1002.5063,-1306.5654,13.1866,359.6424,37,0 ; 
518,981.5054,-1306.6899,13.1630,181.0135,71,18 ; 
405,1109.0310,-1225.8809,15.6987,181.5343,75,1 ; 
458,1000.3081,-1084.5488,23.7069,179.6207,30,1 ; 
420,2159.9783,1687.9427,10.5331,15.7070,-1,-1 ; Taxi
420,2217.6040,1838.1331,10.5980,180.3272,-1,-1 ; Taxi
420,2040.1990,1344.9268,10.4492,178.6027,-1,-1 ; Taxi
463,2439.4592,2059.3762,10.3573,317.0827,125,125 ; 
463,2436.2813,2060.5950,10.3597,324.4647,70,70 ; 
533,2444.2742,1990.9354,10.5294,359.2699,83,83 ; 
480,2458.2346,1992.2141,10.5043,180.6471,92,92 ; 
567,-2357.8167,-43.2394,35.1865,90.6814,97,96 ;
403,-1855.5707,-176.4486,9.9250,270.1853,25,1 ;
492,-1821.1146,-161.7525,9.1874,164.9686,28,56 ; 
530,-1694.7194,8.6605,3.3137,348.2751,111,1 ; 
579,-2484.3000,5.7674,25.5544,91.3108,42,42 ;
567,-2528.8882,-5.5797,25.4875,271.5341,90,96 ; 
429,-2592.7732,-110.8420,3.9306,89.9971,2,1 ; 
415,-2615.9045,-178.3203,4.1076,269.3111,40,1 ; 
480,-2352.2312,-124.4615,34.9708,179.3509,17,1 ;
473,-2967.3806,-684.3901,0.0677,351.0859,56,15 ; 
473,-2954.7388,-498.1349,0.0155,5.6709,56,15 ; 
493,-2947.7612,-364.1319,-0.5123,78.4238,36,13 ; 
411,617.2254,-1102.6525,46.5131,126.8061,64,1 ; 
562,687.5812,-1072.8162,49.1274,62.7814,76,45 ; 
496,724.4913,-995.4954,52.3857,89.4483,79,110 ; 
545,795.9840,-840.3973,60.4526,174.5740,31,96 ; 
522,846.9828,-905.6497,68.3458,342.5805,138,94 ; 
